# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
#  
# Data de início: 20240101
# Data de término: 20240220
Nº dia,Usuários
0000,42217
0001,46717
0002,45939
0003,51626
0004,54713
0005,47274
0006,35354
0007,41608
0008,61528
0009,51155
0010,52110
0011,54311
0012,46141
0013,45281
0014,49822
0015,53320
0016,53514
0017,60185
0018,51306
0019,41965
0020,52029
0021,66219
0022,51850
0023,61060
0024,74050
0025,64490
0026,42351
0027,43497
0028,49991
0029,74166
0030,67949
0031,47046
0032,56908
0033,47799
0034,38697
0035,54426
0036,51681
0037,52363
0038,48705
0039,44909
0040,32792
0041,32057
0042,40006
0043,37627
0044,54936
0045,52565
0046,50824
0047,43200
0048,70613
0049,61413
0050,49637

# Data de início: 20240101
# Data de término: 20240220
Nº dia,Novos usuários
0000,22557
0001,25280
0002,23971
0003,27478
0004,26110
0005,22378
0006,16390
0007,19657
0008,34121
0009,26423
0010,25901
0011,24752
0012,21303
0013,23273
0014,24815
0015,28618
0016,27120
0017,28576
0018,23700
0019,19385
0020,26870
0021,37792
0022,25640
0023,28619
0024,38360
0025,33998
0026,20074
0027,20087
0028,22057
0029,37713
0030,36066
0031,22126
0032,26489
0033,23451
0034,19892
0035,27690
0036,25805
0037,25251
0038,21219
0039,18501
0040,13451
0041,15089
0042,19407
0043,18928
0044,30878
0045,23651
0046,25161
0047,21881
0048,45641
0049,36188
0050,26838

# Data de início: 20240101
# Data de término: 20240220
Nº dia,Tempo médio de engajamento
0000,141.65241490394865
0001,159.9601215831496
0002,168.50967587452928
0003,147.2664548870724
0004,110.82168771589933
0005,93.79997461606803
0006,101.27097358149007
0007,104.21738607960008
0008,127.89057014692497
0009,165.2772944971166
0010,156.7493763193245
0011,147.23168418920662
0012,126.32407186666956
0013,129.2011660519865
0014,148.52254024326604
0015,162.79583645911478
0016,175.2617445902007
0017,142.61071695605216
0018,151.95277355474994
0019,127.7608959847492
0020,154.4724096177132
0021,182.68614748033042
0022,165.12729026036644
0023,155.62399279397314
0024,138.14072923700203
0025,134.99440223290432
0026,125.91759344525514
0027,147.82049336735867
0028,171.29607329319276
0029,155.01760914704852
0030,147.80420609574827
0031,167.74945797729882
0032,141.58548885921135
0033,113.88729889746648
0034,131.29227071866035
0035,142.90043361628634
0036,161.97358797236896
0037,176.3751503924527
0038,169.52830304896827
0039,156.10512369458237
0040,129.23325811173456
0041,142.8390991047197
0042,145.6842973553967
0043,164.1239269673373
0044,145.98847750109218
0045,153.37340435651097
0046,151.93292538957974
0047,132.30877314814813
0048,129.89606729639019
0049,142.82860306449774
0050,164.5180006849729

# Data de início: 20240101
# Data de término: 20240220
Nº dia,Receita total
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,0
0044,0
0045,0
0046,0
0047,0
0048,0
0049,0
0050,0
